Depth Dry Wet Depth2 Dry2 Wet2
5 640.67 830.00 205 803.33 962.33
10 674.67 800.00 210 794.33 864.67
15 708.00 711.33 215 760.67 805.67
20 735.67 867.67 220 789.50 966.00
25 754.33 940.67 225 904.50 1010.33
30 723.33 941.33 230 940.50 936.33
35 664.33 924.33 235 882.00 915.67
40 727.67 873.00 240 783.50 956.33
45 658.67 874.67 245 843.50 936.00
50 658.00 843.33 250 813.50 803.67
55 705.67 885.67 255 658.00 697.33
60 700.00 881.67 260 702.50 795.67
65 720.67 822.00 265 623.50 1045.33
70 701.33 886.33 270 739.00 1029.67
75 716.67 842.50 275 907.50 977.00
80 649.67 874.67 280 846.00 1054.33
85 667.33 889.33 285 829.00 1001.33
90 612.67 870.67 290 975.50 1042.00
95 656.67 916.00 295 998.00 1200.67
100 614.00 888.33 300 1037.50 1172.67
105 584.00 835.33 305 984.00 1019.67
110 619.67 776.33 310 972.50 990.33
115 666.00 811.67 315 834.00 1173.33
120 695.00 874.67 320 675.00 1165.67
125 702.00 846.00 325 686.00 1142.00
130 739.67 920.67 330 963.00 1030.67
135 790.67 896.33 335 961.50 1089.67
140 730.33 810.33 340 932.00 1154.33
145 674.00 912.33 345 1054.00 1238.50
150 749.00 862.33 350 1038.00 1208.67
155 709.67 828.00 355 1238.00 1134.67
160 769.00 812.67 360 927.00 1088.00
165 663.00 795.67 365 850.00 1004.00
170 679.33 897.67 370 1066.00 1104.00
175 740.67 881.00 375 962.50 970.33
180 776.50 819.67 380 1025.50 1054.50
185 688.00 853.33 385 1205.50 1143.50
190 761.67 844.33 390 1168.00 1044.00
195 800.00 919.00 395 1032.50 978.33
200 845.50 933.33 400 1162.00 1104.00
